iter	Passed	Remaining
411	3159	4509
412	3166	4500
413	3172	4490
414	3179	4482
415	3186	4473
416	3194	4466
417	3208	4467
418	3216	4459
419	3222	4450
420	3229	4441
421	3236	4432
422	3243	4424
423	3250	4415
424	3256	4406
425	3263	4396
426	3270	4388
427	3276	4379
428	3283	4370
429	3290	4361
430	3296	4351
431	3302	4342
432	3308	4332
433	3315	4323
434	3321	4314
435	3327	4304
436	3336	4298
437	3342	4289
438	3350	4281
439	3356	4271
440	3363	4263
441	3370	4254
442	3376	4245
443	3383	4237
444	3390	4228
445	3397	4219
446	3403	4210
447	3409	4200
448	3416	4192
449	3422	4183
450	3429	4175
451	3436	4165
452	3442	4156
453	3449	4148
454	3459	4144
455	3468	4138
456	3475	4130
457	3483	4122
458	3490	4113
459	3497	4105
460	3503	4096
461	3509	4087
462	3516	4078
463	3522	4069
464	3529	4061
465	3536	4052
466	3542	4043
467	3549	4034
468	3555	4025
469	3562	4017
470	3568	4008
471	3575	3999
472	3582	3991
473	3590	3984
474	3599	3978
475	3605	3969
476	3612	3960
477	3618	3952
478	3625	3943
479	3631	3934
480	3638	3925
481	3645	3917
482	3651	3908
483	3657	3899
484	3664	3891
485	3670	3882
486	3677	3874
487	3684	3865
488	3690	3856
489	3697	3848
490	3703	3839
491	3712	3833
492	3724	3830
493	3731	3822
494	3737	3813
495	3745	3805
496	3751	3797
497	3759	3789
498	3765	3780
499	3772	3772
500	3778	3763
501	3785	3755
502	3792	3746
503	3798	3738
504	3804	3729
505	3811	3721
506	3817	3712
507	3824	3704
508	3830	3695
509	3837	3686
510	3843	3678
511	3851	3670
512	3858	3663
513	3865	3654
514	3871	3646
515	3878	3638
516	3884	3629
517	3892	3621
518	3898	3612
519	3905	3605
520	3912	3596
521	3918	3588
522	3925	3580
523	3931	3571
524	3938	3563
525	3944	3554
526	3951	3546
527	3958	3538
528	3964	3529
529	3976	3526
530	3986	3520
531	3993	3513
532	4000	3505
533	4008	3497
534	4014	3489
535	4021	3481
536	4028	3473
537	4034	3464
538	4040	3456
539	4047	3447
540	4054	3439
541	4060	3431
542	4066	3422
543	4073	3414
544	4079	3406
545	4087	3398
546	4093	3389
547	4099	3381
548	4108	3374
549	4114	3366
550	4121	3358
551	4128	3350
552	4135	3342
553	4141	3333
554	4147	3325
555	4154	3317
556	4161	3309
557	4167	3301
558	4174	3293
559	4181	3285
560	4187	3277
561	4194	3268
562	4201	3260
563	4207	3252
564	4213	3243
565	4220	3235
566	4228	3229
567	4238	3223
568	4245	3215
569	4252	3208
570	4258	3199
571	4265	3191
572	4271	3183
573	4278	3175
574	4285	3167
575	4292	3159
576	4299	3151
577	4306	3144
578	4312	3135
579	4320	3128
580	4327	3120
581	4335	3113
582	4341	3105
583	4349	3097
584	4355	3089
585	4362	3081
586	4369	3074
587	4375	3066
588	4384	3059
589	4390	3051
590	4397	3043
591	4404	3035
592	4412	3028
593	4420	3021
594	4429	3014
595	4435	3006
596	4442	2999
597	4449	2991
598	4455	2982
599	4462	2975
600	4468	2966
601	4475	2958
602	4482	2950
603	4492	2945
604	4502	2939
605	4509	2932
606	4517	2924
607	4523	2916
608	4530	2908
609	4537	2901
610	4545	2893
611	4551	2885
612	4557	2877
613	4564	2869
614	4571	2861
615	4578	2854
616	4584	2845
617	4591	2838
618	4597	2830
619	4604	2821
620	4611	2814
621	4617	2805
622	4623	2797
623	4629	2789
624	4636	2781
625	4643	2774
626	4650	2766
627	4655	2757
628	4662	2750
629	4669	2742
630	4676	2734
631	4682	2726
632	4689	2718
633	4695	2710
634	4702	2702
635	4709	2695
636	4716	2687
637	4723	2679
638	4730	2672
639	4738	2665
640	4750	2660
641	4761	2655
642	4769	2647
643	4777	2641
644	4784	2633
645	4791	2625
646	4798	2617
647	4804	2609
648	4811	2602
649	4817	2594
650	4824	2586
651	4830	2578
652	4837	2570
653	4844	2562
654	4850	2554
655	4857	2547
656	4864	2539
657	4870	2531
658	4877	2523
659	4883	2515
660	4890	2508
661	4897	2500
662	4904	2492
663	4911	2485
664	4917	2477
665	4924	2469
666	4930	2461
667	4937	2454
668	4944	2446
669	4950	2438
670	4957	2430
671	4964	2422
672	4970	2414
673	4977	2407
674	4983	2399
675	4990	2391
676	4996	2384
677	5006	2377
678	5017	2372
679	5024	2364
680	5031	2356
681	5038	2349
682	5044	2341
683	5052	2334
684	5058	2326
685	5064	2318
686	5072	2310
687	5078	2302
688	5084	2295
689	5091	2287
690	5097	2279
691	5104	2271
692	5110	2264
693	5117	2256
694	5124	2248
695	5130	2240
696	5136	2233
697	5143	2225
698	5150	2217
699	5157	2210
700	5163	2202
701	5171	2195
702	5178	2187
703	5185	2180
704	5192	2172
705	5200	2165
706	5209	2159
707	5219	2152
708	5228	2145
709	5236	2138
710	5242	2130
711	5251	2124
712	5258	2116
713	5271	2111
714	5278	2104
715	5285	2096
716	5294	2089
717	5301	2082
718	5310	2075
719	5317	2067
720	5324	2060
721	5333	2053
722	5341	2046
723	5348	2039
724	5357	2032
725	5365	2025
726	5372	2017
727	5379	2009
728	5387	2002
729	5395	1995
730	5403	1988
731	5410	1980
732	5418	1973
733	5426	1966
734	5433	1959
735	5442	1952
736	5452	1945
737	5461	1938
738	5472	1932
739	5480	1925
740	5489	1918
741	5496	1911
742	5506	1904
743	5517	1898
744	5526	1891
745	5536	1885
746	5548	1879
747	5558	1872
748	5568	1866
749	5576	1858
750	5585	1851
751	5593	1844
752	5602	1837
753	5611	1830
754	5619	1823
755	5628	1816
756	5635	1809
757	5643	1801
758	5651	1794
759	5661	1787
760	5669	1780
761	5678	1773
762	5687	1766
763	5696	1759
764	5704	1752
765	5711	1744
766	5718	1737
767	5725	1729
768	5732	1721
769	5738	1714
770	5745	1706
771	5751	1698
772	5757	1690
773	5764	1683
774	5770	1675
775	5780	1668
776	5788	1661
777	5795	1653
778	5801	1645
779	5808	1638
780	5814	1630
781	5821	1622
782	5827	1615
783	5834	1607
784	5841	1599
785	5848	1592
786	5854	1584
787	5860	1576
788	5868	1569
789	5875	1561
790	5881	1554
791	5887	1546
792	5894	1538
793	5900	1530
794	5907	1523
795	5913	1515
796	5919	1507
797	5926	1500
798	5932	1492
799	5939	1484
800	5946	1477
801	5953	1469
802	5961	1462
803	5967	1454
804	5974	1447
805	5981	1439
806	5988	1432
807	5994	1424
808	6000	1416
809	6007	1409
810	6013	1401
811	6019	1393
812	6026	1386
813	6035	1379
814	6045	1372
815	6053	1364
816	6059	1357
817	6067	1350
818	6075	1342
819	6084	1335
820	6096	1329
821	6107	1322
822	6116	1315
823	6126	1308
824	6136	1301
825	6146	1294
826	6158	1288
827	6167	1281
828	6180	1274
829	6191	1268
830	6199	1260
831	6212	1254
832	6226	1248
833	6236	1241
834	6245	1234
835	6257	1227
836	6264	1220
837	6276	1213
838	6284	1206
839	6295	1199
840	6310	1193
841	6323	1186
842	6333	1179
843	6342	1172
844	6353	1165
845	6362	1158
846	6373	1151
847	6382	1143
848	6391	1136
849	6400	1129
850	6408	1122
851	6418	1114
852	6425	1107
853	6438	1100
854	6446	1093
855	6459	1086
856	6472	1079
857	6480	1072
858	6489	1065
859	6500	1058
860	6508	1050
861	6522	1044
862	6537	1037
863	6553	1031
864	6582	1027
865	6594	1020
866	6605	1013
867	6616	1006
868	6627	999
869	6640	992
870	6651	985
871	6658	977
